Datum ;Zeit ;AT [°C];ATakt [°C];PE1_BR1 ;HK1 VL Ist[°C];HK1 VL Soll[°C];HK1 RT Ist[°C];HK1 RT Soll[°C];HK1 Pumpe;HK1 Mischer;HK1 Fernb[°C];HK1 Status;WW1 EinT Ist[°C];WW1 AusT Ist[°C];WW1 Soll[°C];WW1 Pumpe;WW1 Status;Sensor ext [°C];PE1 KT[°C];PE1 KT_SOLL[°C];PE1 UW Freigabe[°C];PE1 Modulation[%];PE1 FRT Ist[°C];PE1 FRT Soll[°C];PE1 FRT End[°C];PE1 Einschublaufzeit[zs];PE1 Pausenzeit[zs];PE1 Luefterdrehzahl[%];PE1 Saugzugdrehzahl[%];PE1 Unterdruck Ist[EH];PE1 Unterdruck Soll[EH];PE1 Fuellstand[kg];PE1 Fuellstand ZWB[kg];PE1 Status;PE1 Statusbit;PE1 Motor ES;PE1 Motor RA;PE1 Motor RES1;PE1 Motor TURBINE;PE1 Motor ZUEND;PE1 Motor UW[%];PE1 Motor AV;PE1 Motor RES2;PE1 Motor MA;PE1 Motor RM;PE1 Motor SM;PE1 Res1 Temp.[°C];PE1 Res2 Temp.[°C];PE1 CAP RA;PE1 CAP ZB;PE1 AK;PE1 Saug-Int[min];PE1 DigIn1;PE1 DigIn2;PE1 CntDig1;PE1 Ashfill[kg];PE1 Runtime[h];Fehler1 ;Fehler2 ;Fehler3 ;
01.11.2025;00:03:56;13,5;13,6;0;34,0;8,0;16,9;8,0;0;0;0,0;2064;51,4;51,4;26,0;0;8200;14,9;73,2;8,0;60,0;0;77,6;8,0;8,0;0,00;0,00;0;0;48,2;139,0;6000;0;99;1879048192;0;0;0;0;0;0;0;0;0;0;0;34,0;51,4;1;1;0;103;0;0;0;0,0;5897;0;0;0;
01.11.2025;00:04:56;13,5;13,6;0;33,9;8,0;16,9;8,0;0;0;0,0;2064;51,4;51,4;26,0;0;8200;14,9;73,2;8,0;60,0;0;77,6;8,0;8,0;0,00;0,00;0;0;48,2;139,0;6000;0;99;1879048192;0;0;0;0;0;0;0;0;0;0;0;33,9;51,3;1;1;0;103;0;0;0;0,0;5897;0;0;0;
01.11.2025;00:05:56;13,5;13,5;0;33,9;8,0;16,9;8,0;0;0;0,0;2064;51,3;51,3;26,0;0;8200;14,9;73,2;8,0;60,0;0;77,5;8,0;8,0;0,00;0,00;0;0;48,2;139,0;6000;0;99;1879048192;0;0;0;0;0;0;0;0;0;0;0;33,9;51,3;1;1;0;103;0;0;0;0,0;5897;0;0;0;
01.11.2025;00:06:56;13,5;13,6;0;33,9;8,0;16,9;8,0;0;0;0,0;2064;51,3;51,3;26,0;0;8200;14,9;73,2;8,0;60,0;0;77,4;8,0;8,0;0,00;0,00;0;0;48,2;139,0;6000;0;99;1879048192;0;0;0;0;0;0;0;0;0;0;0;33,9;51,3;1;1;0;103;0;0;0;0,0;5897;0;0;0;
01.11.2025;00:07:56;13,5;13,5;0;33,9;8,0;16,9;8,0;0;0;0,0;2064;51,3;51,3;26,0;0;8200;15,2;73,1;8,0;60,0;0;77,4;8,0;8,0;0,00;0,00;0;0;48,2;139,0;6000;0;99;1879048192;0;0;0;0;0;0;0;0;0;0;0;33,9;51,3;1;1;0;103;0;0;0;0,0;5897;0;0;0;
01.11.2025;00:08:56;13,5;13,5;0;33,8;8,0;16,9;8,0;0;0;0,0;2064;51,3;51,3;26,0;0;8200;14,9;73,2;8,0;60,0;0;77,4;8,0;8,0;0,00;0,00;0;0;48,1;139,0;6000;0;99;1879048192;0;0;0;0;0;0;0;0;0;0;0;33,8;51,3;1;1;0;103;0;0;0;0,0;5897;0;0;0;
01.11.2025;00:09:56;13,5;13,5;0;33,8;8,0;16,9;8,0;0;0;0,0;2064;51,3;51,3;26,0;0;8200;14,9;73,1;8,0;60,0;0;77,2;8,0;8,0;0,00;0,00;0;0;48,2;139,0;6000;0;99;1879048192;0;0;0;0;0;0;0;0;0;0;0;33,8;51,3;1;1;0;103;0;0;0;0,0;5897;0;0;0;
01.11.2025;00:10:56;13,5;13,5;0;33,8;8,0;16,9;8,0;0;0;0,0;2064;51,3;51,3;26,0;0;8200;14,9;73,1;8,0;60,0;0;77,2;8,0;8,0;0,00;0,00;0;0;48,1;139,0;6000;0;99;1879048192;0;0;0;0;0;0;0;0;0;0;0;33,8;51,3;1;1;0;103;0;0;0;0,0;5897;0;0;0;
01.11.2025;00:11:56;13,5;13,5;0;33,7;8,0;16,8;8,0;0;0;0,0;2064;51,2;51,2;26,0;0;8200;14,9;73,1;8,0;60,0;0;77,1;8,0;8,0;0,00;0,00;0;0;48,2;139,0;6000;0;99;1879048192;0;0;0;0;0;0;0;0;0;0;0;33,7;51,2;1;1;0;103;0;0;0;0,0;5897;0;0;0;
01.11.2025;00:12:56;13,5;13,6;0;33,7;8,0;16,8;8,0;0;0;0,0;2064;51,2;51,2;26,0;0;8200;14,9;73,1;8,0;60,0;0;76,9;8,0;8,0;0,00;0,00;0;0;48,2;139,0;6000;0;99;1879048192;0;0;0;0;0;0;0;0;0;0;0;33,7;51,2;1;1;0;103;0;0;0;0,0;5897;0;0;0;
01.11.2025;00:13:56;13,5;13,6;0;33,7;8,0;16,8;8,0;0;0;0,0;2064;51,2;51,2;26,0;0;8200;14,9;73,0;8,0;60,0;0;76,9;8,0;8,0;0,00;0,00;0;0;48,1;139,0;6000;0;99;1879048192;0;0;0;0;0;0;0;0;0;0;0;33,7;51,2;1;1;0;103;0;0;0;0,0;5897;0;0;0;
01.11.2025;00:14:56;13,5;13,5;0;33,7;8,0;16,9;8,0;0;0;0,0;2064;51,2;51,2;26,0;0;8200;15,2;73,0;8,0;60,0;0;76,7;8,0;8,0;0,00;0,00;0;0;48,1;139,0;6000;0;99;1879048192;0;0;0;0;0;0;0;0;0;0;0;33,7;51,2;1;1;0;103;0;0;0;0,0;5897;0;0;0;
01.11.2025;00:15:56;13,5;13,6;0;33,7;8,0;16,9;8,0;0;0;0,0;2064;51,2;51,2;26,0;0;8200;14,9;73,0;8,0;60,0;0;76,8;8,0;8,0;0,00;0,00;0;0;48,1;139,0;6000;0;99;1879048192;0;0;0;0;0;0;0;0;0;0;0;33,7;51,2;1;1;0;103;0;0;0;0,0;5897;0;0;0;
01.11.2025;00:16:56;13,5;13,5;0;33,6;8,0;16,9;8,0;0;0;0,0;2064;51,2;51,2;26,0;0;8200;15,0;73,1;8,0;60,0;0;76,7;8,0;8,0;0,00;0,00;0;0;48,1;139,0;6000;0;99;1879048192;0;0;0;0;0;0;0;0;0;0;0;33,6;51,2;1;1;0;103;0;0;0;0,0;5897;0;0;0;
01.11.2025;00:17:56;13,5;13,5;0;33,6;8,0;16,9;8,0;0;0;0,0;2064;51,1;51,1;26,0;0;8200;14,9;73,0;8,0;60,0;0;76,6;8,0;8,0;0,00;0,00;0;0;48,1;139,0;6000;0;99;1879048192;0;0;0;0;0;0;0;0;0;0;0;33,6;51,1;1;1;0;103;0;0;0;0,0;5897;0;0;0;
01.11.2025;00:18:56;13,5;13,5;0;33,6;8,0;16,9;8,0;0;0;0,0;2064;51,1;51,1;26,0;0;8200;14,9;72,9;8,0;60,0;0;76,5;8,0;8,0;0,00;0,00;0;0;48,1;139,0;6000;0;99;1879048192;0;0;0;0;0;0;0;0;0;0;0;33,6;51,1;1;1;0;103;0;0;0;0,0;5897;0;0;0;
01.11.2025;00:19:56;13,5;13,6;0;33,6;8,0;16,9;8,0;0;0;0,0;2064;51,1;51,1;26,0;0;8200;14,9;73,0;8,0;60,0;0;76,4;8,0;8,0;0,00;0,00;0;0;48,1;139,0;6000;0;99;1879048192;0;0;0;0;0;0;0;0;0;0;0;33,6;51,1;1;1;0;103;0;0;0;0,0;5897;0;0;0;
01.11.2025;00:20:56;13,5;13,6;0;33,5;8,0;16,8;8,0;0;0;0,0;2064;51,1;51,1;26,0;0;8200;14,9;72,9;8,0;60,0;0;76,4;8,0;8,0;0,00;0,00;0;0;48,0;139,0;6000;0;99;1879048192;0;0;0;0;0;0;0;0;0;0;0;33,5;51,1;1;1;0;103;0;0;0;0,0;5897;0;0;0;
01.11.2025;00:21:56;13,5;13,6;0;33,5;8,0;16,8;8,0;0;0;0,0;2064;51,1;51,1;26,0;0;8200;15,1;72,9;8,0;60,0;0;76,3;8,0;8,0;0,00;0,00;0;0;48,1;139,0;6000;0;99;1879048192;0;0;0;0;0;0;0;0;0;0;0;33,5;51,1;1;1;0;103;0;0;0;0,0;5897;0;0;0;
01.11.2025;00:22:56;13,5;13,5;0;33,5;8,0;16,8;8,0;0;0;0,0;2064;51,1;51,1;26,0;0;8200;15,1;72,9;8,0;60,0;0;76,3;8,0;8,0;0,00;0,00;0;0;48,0;139,0;6000;0;99;1879048192;0;0;0;0;0;0;0;0;0;0;0;33,5;51,1;1;1;0;103;0;0;0;0,0;5897;0;0;0;
01.11.2025;00:23:56;13,5;13,6;0;33,5;8,0;16,8;8,0;0;0;0,0;2064;51,0;51,0;26,0;0;8200;14,9;72,9;8,0;60,0;0;76,2;8,0;8,0;0,00;0,00;0;0;48,5;139,0;6000;0;99;1879048192;0;0;0;0;0;0;0;0;0;0;0;33,5;51,0;1;1;0;103;0;0;0;0,0;5897;0;0;0;
01.11.2025;00:24:56;13,5;13,6;0;33,5;8,0;16,8;8,0;0;0;0,0;2064;51,0;51,0;26,0;0;8200;14,9;72,9;8,0;60,0;0;76,2;8,0;8,0;0,00;0,00;0;0;48,1;139,0;6000;0;99;1879048192;0;0;0;0;0;0;0;0;0;0;0;33,5;51,0;1;1;0;103;0;0;0;0,0;5897;0;0;0;
01.11.2025;00:25:56;13,5;13,6;0;33,4;8,0;16,8;8,0;0;0;0,0;2064;51,0;51,0;26,0;0;8200;14,9;72,8;8,0;60,0;0;76,1;8,0;8,0;0,00;0,00;0;0;48,1;139,0;6000;0;99;1879048192;0;0;0;0;0;0;0;0;0;0;0;33,4;51,0;1;1;0;103;0;0;0;0,0;5897;0;0;0;
01.11.2025;00:26:56;13,5;13,5;0;33,4;8,0;16,9;8,0;0;0;0,0;2064;50,9;50,9;26,0;0;8200;14,9;72,8;8,0;60,0;0;76,1;8,0;8,0;0,00;0,00;0;0;48,1;139,0;6000;0;99;1879048192;0;0;0;0;0;0;0;0;0;0;0;33,4;50,9;1;1;0;103;0;0;0;0,0;5897;0;0;0;
01.11.2025;00:27:56;13,5;13,5;0;33,4;8,0;16,9;8,0;0;0;0,0;2064;51,0;51,0;26,0;0;8200;14,9;72,8;8,0;60,0;0;75,9;8,0;8,0;0,00;0,00;0;0;48,0;139,0;6000;0;99;1879048192;0;0;0;0;0;0;0;0;0;0;0;33,4;51,0;1;1;0;103;0;0;0;0,0;5897;0;0;0;
01.11.2025;00:28:56;13,5;13,6;0;33,3;8,0;16,9;8,0;0;0;0,0;2064;50,9;50,9;26,0;0;8200;14,8;72,7;8,0;60,0;0;76,0;8,0;8,0;0,00;0,00;0;0;48,1;139,0;6000;0;99;1879048192;0;0;0;0;0;0;0;0;0;0;0;33,3;50,9;1;1;0;103;0;0;0;0,0;5897;0;0;0;
01.11.2025;00:29:56;13,5;13,6;0;33,4;8,0;16,9;8,0;0;0;0,0;2064;51,0;51,0;26,0;0;8200;14,7;72,7;8,0;60,0;0;75,9;8,0;8,0;0,00;0,00;0;0;48,0;139,0;6000;0;99;1879048192;0;0;0;0;0;0;0;0;0;0;0;33,4;51,0;1;1;0;103;0;0;0;0,0;5897;0;0;0;
01.11.2025;00:30:56;13,5;13,6;0;33,2;8,0;16,9;8,0;0;0;0,0;2064;50,9;50,9;26,0;0;8200;15,2;72,6;8,0;60,0;0;75,9;8,0;8,0;0,00;0,00;0;0;48,3;139,0;6000;0;99;1879048192;0;0;0;0;0;0;0;0;0;0;0;33,2;50,9;1;1;0;103;0;0;0;0,0;5897;0;0;0;
01.11.2025;00:31:56;13,5;13,6;0;33,3;8,0;16,8;8,0;0;0;0,0;2064;50,9;50,9;26,0;0;8200;14,9;72,7;8,0;60,0;0;75,7;8,0;8,0;0,00;0,00;0;0;48,0;139,0;6000;0;99;1879048192;0;0;0;0;0;0;0;0;0;0;0;33,3;50,9;1;1;0;103;0;0;0;0,0;5897;0;0;0;
01.11.2025;00:32:56;13,5;13,6;0;33,3;8,0;16,8;8,0;0;0;0,0;2064;50,9;50,9;26,0;0;8200;14,8;72,6;8,0;60,0;0;75,6;8,0;8,0;0,00;0,00;0;0;48,1;139,0;6000;0;99;1879048192;0;0;0;0;0;0;0;0;0;0;0;33,3;50,9;1;1;0;103;0;0;0;0,0;5897;0;0;0;
